abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta
The four biggest mistakes I made while caring for my mother.,https://newoldage.blogs.nytimes.com/2008/07/07/what-i-wish-id-done-differently/,The four biggest mistakes I made while caring for my mother.,"Looking back on the last few years of my mother’s life, with 20/20 hindsight and the belated knowledge that came from four years of reporting about aging for The New York Times, my single biggest mistake was not finding a doctor with expertise in geriatrics to quarterback her care and attend to the quality of her life, not merely its length. ",,,The New York Times,[],[],2008-07-07T14:37:24+0000,article,Science,Health,,News,nyt://article/2ae33f12-e751-576b-9a1e-06340ff42a9b,869,nyt://article/2ae33f12-e751-576b-9a1e-06340ff42a9b,What I Wish I’d Done Differently,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Many studies suggest that for both men and women, it’s not how much you weigh that matters most, but where you carry those pounds.",https://www.nytimes.com/2008/05/13/health/13waist.html,"Many studies suggest that for both men and women, it’s not how much you weigh that matters most, but where you carry those pounds.",IT’S time to step off the scale and get out the tape measure.,SPG,5,The New York Times,[],"[{'name': 'subject', 'value': 'Obesity', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Heart', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Diabetes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 6, 'major': 'N'}]",2008-05-13T04:00:00+0000,article,SpecialSections,Health,,News,nyt://article/bbd49639-3c91-5e40-a88b-0ac7e12105ae,796,nyt://article/bbd49639-3c91-5e40-a88b-0ac7e12105ae,Watch Your Girth,Waist,,Watch Your Girth,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"The discovery of a brain chemical linked to narcolepsy sparked hopes of a cure, but the high expectations have since flagged.",https://www.nytimes.com/ref/health/healthguide/esn-narcolepsy-ess.html,"The discovery of a brain chemical linked to narcolepsy sparked hopes of a cure, but the high expectations have since flagged.","Scientists have begun to pull back the veil of mystery that has surrounded narcolepsy since it was first described more than 125 years ago. In 2000, investigators reported that a lack of a neurochemical called hypocretin is a prime culprit in the sleep disorder. Patients with classic narcolepsy — a combination of irresistible sleepiness and sudden collapses from muscle weakness — are missing most of the brain cells that make the wakefulness-promoting protein.",,,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_190_126.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2008/02/19/health/narcolepsy_190_126.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_600.jpg', 'height': 352, 'width': 600, 'legacy': {'xlarge': 'images/2008/02/19/health/narcolepsy_600.jpg', 'xlargewidth': 600, 'xlargeheight': 352}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_600.jpg', 'height': 352, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_190_245.jpg', 'height': 245, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_395.jpg', 'height': 232, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/02/19/health/narcolepsy_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/02/19/health/narcolepsy_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Sleep', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Sedatives', 'rank': 5, 'major': 'N'}]",2008-02-15T05:00:00+0000,article,Science,Health,Health Guide,News,nyt://article/3373bed7-7d2a-5dd2-8100-abb73fcc9178,819,nyt://article/3373bed7-7d2a-5dd2-8100-abb73fcc9178,"A Leap Forward, but Hurdles Remain in Narcolepsy",Reporter's File,,"A Leap Forward, but Hurdles Remain in Narcolepsy",,,,By INGFEI CHEN,"[{'firstname': 'Ingfei', 'middlename': None, 'lastname': 'CHEN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Those with Down syndrome have been living much longer due to medical advances, but they show a higher incidence of early-onset Alzheimer’s disease.",https://www.nytimes.com/2008/06/01/nyregion/01down.html,"Those with Down syndrome have been living much longer due to medical advances, but they show a higher incidence of early-onset Alzheimer’s disease.","His Superman T-shirt was bold and bright, but his face was creased with confusion. Gerry Thomas was stumped by a question most men can answer in an instant.",A,31,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/01/nyregion/01downs.span.jpg', 'height': 327, 'width': 600, 'legacy': {'xlarge': 'images/2008/06/01/nyregion/01downs.span.jpg', 'xlargewidth': 600, 'xlargeheight': 327}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/01/nyregion/01downs.span.jpg', 'height': 327, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/01/nyregion/01downs.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/06/01/nyregion/01downs.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Queens (NYC)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Columbia University', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Down Syndrome', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}]",2008-06-01T04:00:00+0000,article,Metro,New York,,News,nyt://article/b09d0a9a-d675-5a8b-bbcc-505ac9f9371d,1859,nyt://article/b09d0a9a-d675-5a8b-bbcc-505ac9f9371d,"For People With Down Syndrome, Longer Life Has Complications",,,"For People With Down Syndrome, Longer Life Has Complications",,,,By Sally Sara,"[{'firstname': 'Sally', 'middlename': None, 'lastname': 'Sara', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Dr. Gajdusek was a virologist who won the 1976 Nobel Prize in medicine for his work on the mysterious epidemics now known as prion diseases.,https://www.nytimes.com/2008/12/15/science/15gajdusek.html,Dr. Gajdusek was a virologist who won the 1976 Nobel Prize in medicine for his work on the mysterious epidemics now known as prion diseases.,"D. Carleton Gajdusek, a virologist who won the 1976 Nobel Prize in medicine for his work on the mysterious epidemics now known as prion diseases, died last week in Tromso, Norway.",A,33,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/us/gajdusek190.jpg', 'height': 255, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/us/gajdusek75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/12/15/us/gajdusek75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Nobel Prizes', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Kuru', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mad Cow Disease (Bovine Spongiform Encephalopathy)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Creutzfeldt-Jakob Disease', 'rank': 7, 'major': 'N'}]",2008-12-15T05:58:44+0000,article,National,Science,,Obituary (Obit),nyt://article/ae01623a-f2c9-53b9-89b1-9899a5851051,888,nyt://article/ae01623a-f2c9-53b9-89b1-9899a5851051,"D. Carleton Gajdusek, Who Won Nobel for Work on Brain Disease, Is Dead at 85",,,"D. Carleton Gajdusek, Who Won Nobel For Work on Brain Disease, Is Dead at 85",,,,By Donald G. McNeil Jr,"[{'firstname': 'Donald', 'middlename': 'G.', 'lastname': 'McNeil', 'qualifier': 'Jr', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Ms. Getty’s portrayal of a crabbily charming octogenarian on the television sitcom “The Golden Girls” gave new prominence to elderly characters in prime time.,https://www.nytimes.com/2008/07/23/arts/television/23getty.html,Ms. Getty’s portrayal of a crabbily charming octogenarian on the television sitcom “The Golden Girls” gave new prominence to elderly characters in prime time.,"Estelle Getty, whose portrayal of a crabbily charming octogenarian on the television sitcom “The Golden Girls” gave new prominence to elderly characters in prime time and endeared her to viewers of all ages, died on Tuesday in Los Angeles. She was 84.",A,19,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/23/arts/Obit-Getty.jpg', 'height': 291, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/23/arts/Obit-Getty-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/07/23/arts/Obit-Getty-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Getty, Estelle', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 4, 'major': 'N'}]",2008-07-23T04:00:00+0000,article,Culture,Arts,Television,Obituary (Obit),nyt://article/1b3a6ac7-71ca-54e3-a090-4f80582e1300,916,nyt://article/1b3a6ac7-71ca-54e3-a090-4f80582e1300,"Estelle Getty, ‘Golden Girls’ Matriarch, Dies at 84",,,"Estelle Getty, ‘Golden Girls’ Matriarch, Dies at 84",,,,By Bruce Weber,"[{'firstname': 'Bruce', 'middlename': None, 'lastname': 'Weber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"The Watergate investigation changed history and spawned thousands of journalism careers, but until Sunday Carl Bernstein had never met the secret source known as Deep Throat.",https://thecaucus.blogs.nytimes.com/2008/11/20/blogs/20thecaucus-at-last-7531.html,"The Watergate investigation changed history and spawned thousands of journalism careers, but until Sunday Carl Bernstein had never met the secret source known as Deep Throat.","(Photo: Clockwise from right: Bob Woodward, Mark Felt, Carl Bernstein and John O'Connor, Mr. Felt's co-author on ""A G-Man's Life"" (Photo: Joan Felt)) Updated During all the months that Carl Bernstein and Bob Woodward spent cracking the Watergate scandal, and in all the years since, Mr. Bernstein had never met the reporters' most famous source, the man known as Deep Throat.  Until now.  Last Sunday, 36 years after the two young Washington Post reporters began writing about a botched burglary at the Democratic National Committee offices in the Watergate building in Washington, both men paid a visit to Mark Felt, whom they had dubbed Deep Throat, at his Santa Rosa, Calif., home.  Mr. Felt was the No. 2 man at the F.B.I., with intimate knowledge of the White House and the re-election campaign of President Richard M. Nixon, when Mr. Woodward began consulting him about the un-spooling Watergate story.  Mr. Bernstein was never privy to those meetings, and for nearly four decades never met the man who guided them through the investigation that ultimately linked Mr. Nixon and his closest White House aides to the break-in and cover-up. Two years later, their work led to the threat of impeachment, forcing Mr. Nixon to resign.  But late Sunday afternoon, Mr. Woodward and Mr. Bernstein met with Mr. Felt at his home on -- wait for it -- Redford Place in Santa Rosa, 55 miles north of San Francisco.   Mr. Felt, 95, suffers from dementia, but Mr. Bernstein said during their visit he had moments of clarity. The man who told them the truth when so many others had obfuscated and lied ""was engaged,"" Mr. Woodward said.   The two journalists were heading to the bay area for a talk at the Lesher Center for the Arts in Walnut Creek. Mr. Woodward said that in the back of their minds was the thought that this would be an opportunity to swing by for a visit to Mr. Felt, who has been in failing health. Joan, his daughter and caregiver, had warned that in the last few months he had almost died, Mr. Woodward said. So, he said, he and Mr. Bernstein agreed to fly west a day early to finally introduce Mr. Bernstein and Mr. Felt.  The meeting, late Sunday in the family living room, included neighbors, family members and friends of the Felts. ""It was like a family reunion,"" Mr. Woodward said, ""a festive family gathering."" Guests sipped iced tea as a few friendly dogs meandered about, he said.   Mr. Felt wore a white shirt -– ""like a good FBI man,"" Mr. Woodward said -- and a red blazer, which was not so much like an FBI man. Ms. Felt has said that her father has memories of two people: J. Edgar Hoover and Mr. Woodward.   The two reporters revealed the meeting Monday night, at the Walnut Creek speaking event, and Mr. Bernstein described it as ""a remarkable afternoon.""   ""We were there to pay our respects and gratitude and we conveyed that,"" Mr. Bernstein said in a telephone interview on Wednesday. ""It was heartfelt and was received that way.""   Both he and Mr. Woodward described Mr. Felt as having ""great dignity and grace"" including, Mr. Bernstein said, ""in his words.""  ""It was a personal visit, not a working visit,"" he said, ""and it closed the circle.""  Deep Throat's identity had been kept secret for decades, as part of Mr. Woodward's journalistic pledge to Mr. Felt, and it became the source of great speculation. It was not until June 2005 that the public learned his identity, and even then it was not Mr. Woodward who disclosed the information but Mr. Felt in an article in Vanity Fair.   The relationship was fraught with mystery, vividly captured in a book and a movie, ""All the President's Men,"" (Robert Redford played Mr. Woodward and Dustin Hoffman played Mr. Bernstein, with Hal Holbrook playing the shadowy Deep Throat). The book described Mr. Woodward planting a red flag in a flower pot on the window sill of his apartment to signal to his source that they needed to meet. Deep Throat signaled his desire to talk by circling page 20 on Mr. Woodward's New York Times. They rendezvoused at an underground garage.   In a phone interview Wednesday, Mr. Woodward recalled Mr. Felt's importance to the investigation.   ""He provided confirmation and guidance and directed us,"" Mr. Woodward said. ""Here he is in an important position in the FBI. What he conveyed was the magnitude of Watergate, the way Nixon operated and that there were lots of tentacles and that it went to the top and that it was a concerted effort of political espionage to beat the Democrats in '72. And they did.""  ""It gave us comfort that it was not just the people we were talking to at the mid-level and low-level -- we had dozens of sources -- it was somebody at the crossroads of the investigation.""   Despite hundreds of speculative stories about Deep Throat's identity Mr. Woodward said today, ""Like all secrets, sometimes we hide it in plain sight.""   Mr. Woodward said an article headlined, ""FBI Finds Nixon Aides Sabotaged Democrats,"" in the Washington Post on Oct. 10, 1972, gave a major clue about the source, but few Watergate sleuths noticed. The hint was buried in the lead:  ""FBI agents have established that the Watergate bugging incident stemmed from a massive campaign of political spying and sabotage conducted on behalf of President Nixon's re-election and directed by officials of the White House and the Committee for the Re-election of the President…""    ",,,The New York Times,[],[],2008-11-20T17:05:33+0000,article,None,Blogs,,Web Log,nyt://article/f10ca6c2-567c-5043-bb8b-4141f8e51f07,925,nyt://article/f10ca6c2-567c-5043-bb8b-4141f8e51f07,"At Last, Bernstein Meets Deep Throat",The Caucus,,"At Last, Bernstein Meets Deep Throat",,,,By CAROL POGASH,"[{'firstname': 'Carol', 'middlename': None, 'lastname': 'POGASH', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Workplace accommodations modeled on child care do not always benefit employees caring for aging parents.,https://newoldage.blogs.nytimes.com/2008/10/28/blogs/28newoldage-where-th83.html,Workplace accommodations modeled on child care do not always benefit employees caring for aging parents.,"Since the late 1960s and early 1970s, when working women made child care benefits a key part of the feminist agenda, it has become routine for companies to provide maternity leaves, job sharing and pre-tax accounts to pay for child care. These days, the accommodations offered to those of us caring for elderly parents often are modeled on these kinds of child care benefits. But the so-called ""mommy track"" and ""daughter track"" are more dissimilar than similar, and the child care paradigm does not always work to benefit adult caregivers.   For instance, most pregnant workers know when they will take maternity leave and for how long. But someone responsible for an aged parent faces an unpredictable series of crises. When the unexpected happens, the caregiver must use some of the time off granted under the federal Family and Medical Leave Act or depend on the good will of a supervisor.  Or take flexible spending accounts, which permit the use of pre-tax dollars for dependent care. I.R.S. regulations require that the dependent receive full financial support and live with the employee. That is generally the case with children, but rarely with elderly parents.   Perhaps it's no surprise, then, that corporate America is losing billions of dollars because of the soaring number of employees whose responsibilities for elderly parents result in absenteeism, lost productivity, premature retirement, stress-related health problems and other consequences of attending to unpredictable crises during working hours.   These costs have been calculated by the MetLife Mature Market Institute, along with the National Alliance for Caregiving, and the bad news predictably is getting worse as the population ages. In 1997, overall costs to employers ranged from $11.5 billion to $29 billion a year, depending on how many hours a week of hands-on care employees were providing. By 2006, both numbers had jumped by more than $4 billion a year; costs ranged from $17.1 billion to $33.6 billion and are still rising.  Here are some examples of ways that employers are impacted when workers are torn between jobs and caregiving, and as a result reduce their hours, retire early, or suffer both mentally and physically from the stress.   * The cost of replacing experienced employees who quit: $6.6 billion in 2006, up from $4.9 billion in 1997.  * Workday interruptions: $6.3 billion in 2006, up from $3.7 billion in 1997.  * Absenteeism: $2.5 billion in 2009, up from $885 million in 1997.   (Using from a simple online tool, employers can estimate how much money they are losing based on the size of a business, the average hourly wage and the number of employees with caregiving responsibilities.)   Reducing those costs will require companies to rethink many of the options they offer to employees. One benefit with real utility for caregivers is back-up care, usually provided by a company under contract with an employer. Any time an employee has a temporary need for child care or eldercare -- say, a sick babysitter or a home health aide who fails to show up -- he or she can get a temporary replacement, by the next morning, by making one phone call. The cost of the replacement care generally is subsidized by the employer.  One of the nation's leading providers of back-up care is the Work Options Group , based in Superior, Colo., whose clients include Microsoft, Verizon Wireless, Princeton University and Prudential Financial. This year, Work Options will serve 600,000 employees, a 30 percent increase in just two years. But according to C.E.O. Cindy Carrillo, 90 percent of the employees using the service are mothers (and some fathers), rather than daughters (and some sons).  I asked Ms. Carrillo why this was so, given the number of employees nationwide with responsibility for aging parents. (Estimates range from 16 to 20 million.) On explanation, she said, is the average age of employees at the companies she works with: 35 to 37 years old at high-tech or telecommunications concerns, and 45 to 47 years old in more old-line businesses. In either case, she said, they are more likely to have young children than dependent parents.   But numbers tell only a small part of the story. Those on the mommy track, she added, are far more comfortable seeking help from their human resource departments and far more likely, now as in the past, to press for what they need if they're not getting it. And few companies want to be seen as politically incorrect regarding child care.   By contrast, Ms. Carrillo said, those caring for parents (as she is) tend to hold their situations together with ""rubber bands and bubble gum'' and keep their problems to themselves -- knowing from experience that some bosses and colleagues avert their eyes or change the subject when talk turns to incontinence or dementia.   Ms. Carrillo noted, too, that few of us plan in advance for the time and money we may have to spend on eldercare, arguably because we don't want to think about it and are hoping it will never come up. Compare that to the elaborate preparation for the arrival of a new baby, Ms. Carrillo said, including child care arrangements and college savings accounts. Denial, then, affects how workers use these benefits even when they are offered.   ""We close one eye, look the other way, handle one hurdle at a time and don't realize how much trouble we're in until it accelerates,'' Ms. Carrillo said.  This mindset may account for the absence of activism among caregivers of the elderly, who have not made their voices heard as working mothers did decades ago.   ""Nobody wants to think about it beforehand,'' Ms. Carrillo said. ""When you're in the throes of it you don't have time. And when you're done, you don't want to go back there again.'' ",,,The New York Times,[],[],2008-10-28T15:51:30+0000,article,None,Blogs,,Web Log,nyt://article/e002eb9b-b868-551e-af70-0cba61944aab,957,nyt://article/e002eb9b-b868-551e-af70-0cba61944aab,Where the Mommy Track Crosses the Daughter Track,The New Old Age,,Where the Mommy Track Crosses the Daughter Track,,,,By JANE GROSS,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'GROSS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
To visit the absurdist world of “Choke” requires that you dive through the looking glass into a labyrinth where personal identity is fluid.,https://www.nytimes.com/2008/09/26/movies/26chok.html,To visit the absurdist world of “Choke” requires that you dive through the looking glass into a labyrinth where personal identity is fluid.,"To visit the absurdist world of “Choke,” the second film adapted from a novel by the “Fight Club” author Chuck Palahniuk, requires that you dive through the looking glass into a labyrinth where personal identity is fluid. At one point its cheerfully snarky narrator and self-proclaimed sex addict Victor Mancini (Sam Rockwell), is half-convinced that he is cloned from tissue taken from the foreskin of a holy relic. Might he be the son of the son of the Son of God? ",E,17,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/26/movies/26choke.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/09/26/movies/26choke.xlarge1.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/26/movies/26choke.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/26/movies/26choke.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/09/26/movies/26choke.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'MOTION PICTURES', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Palahniuk, Chuck', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Heimlich Maneuver', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Rockwell, Sam', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Gregg, Clark', 'rank': 6, 'major': 'N'}]",2008-09-26T00:49:43+0000,article,Weekend,Movies,,Review,nyt://article/6e7cca4d-848c-5445-b364-3ef39a05c708,870,nyt://article/6e7cca4d-848c-5445-b364-3ef39a05c708,Heimlich Maneuvers on the Way to Self,Movie Review | 'Choke',,Heimlich Maneuvers on the Way to Self,,,,By Stephen Holden,"[{'firstname': 'Stephen', 'middlename': None, 'lastname': 'Holden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Olfaction is an ancient sense and in many ways our sense of smell stands alone.,https://www.nytimes.com/2008/08/05/science/05angier.html,Olfaction is an ancient sense and in many ways our sense of smell stands alone.,"Here is a fun and easy experiment that Rachel Herz of Brown University suggests you try at home, but only if you promise to eat your vegetables first, floss afterward, and are not at risk of a diabetic coma. Buy a bag of assorted jelly beans of sufficiently high quality to qualify, however oxymoronically, as “gourmet.” Then, sample all the flavors in the bag systematically until you are sure you appreciate just how distinctive each one is, because expertise is important and you may never get another excuse this good.",F,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/04/science/05angier02_600.jpg', 'height': 312, 'width': 600, 'legacy': {'xlarge': 'images/2008/08/04/science/05angier02_600.jpg', 'xlargewidth': 600, 'xlargeheight': 312}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/04/science/05angier02_600.jpg', 'height': 312, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/04/science/05angier02_395.jpg', 'height': 220, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/04/science/05angier_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/08/04/science/05angier_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Smell', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Emotions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nose', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Odors', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Science and Technology', 'rank': 5, 'major': 'N'}]",2008-08-05T04:00:00+0000,article,Science,Science,,News,nyt://article/a3d8fb59-a4c8-5380-b0b8-5a60aa76ab88,975,nyt://article/a3d8fb59-a4c8-5380-b0b8-5a60aa76ab88,"The Nose, an Emotional Time Machine",Basics,,"The Nose, an Emotional Time Machine",,,,By Natalie Angier,"[{'firstname': 'Natalie', 'middlename': None, 'lastname': 'Angier', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Estelle Getty, whose portrayal of a crabbily charming octogenarian on the television sitcom ""The Golden Girls"" gave new prominence to elderly characters in prime time and endeared her to viewers of all ages, died on Tuesday in Los Angeles. She was 84.",https://www.nytimes.com/2008/07/23/arts/23iht-23getty.14710663.html,,"Estelle Getty, whose portrayal of a crabbily charming octogenarian on the television sitcom ""The Golden Girls"" gave new prominence to elderly characters in prime time and endeared her to viewers of all ages, died on Tuesday in Los Angeles. She was 84.",,,International Herald Tribune,[],[],2008-07-23T05:00:00+0000,article,IHT News,Arts,,News,nyt://article/fc8026f3-aa27-5da9-9ccf-d9b17688b5eb,875,nyt://article/fc8026f3-aa27-5da9-9ccf-d9b17688b5eb,"Estelle Getty, 'Golden Girls' matriarch, dies at 84",,,"Estelle Getty, 'Golden Girls' matriarch, dies at 84",,,,By Bruce Weber,"[{'firstname': 'Bruce', 'middlename': None, 'lastname': 'Weber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
