abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,slideshow_credits,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"Finding a good one takes research and perseverance, but unfortunately, the typical search is made under duress and with little time available.",https://www.nytimes.com/2010/03/20/health/20patient.html,"Finding a good one takes research and perseverance, but unfortunately, the typical search is made under duress and with little time available.","The decision is one of the hardest you will ever make. Your spouse, parent or another loved one needs care that assisted living or home health care simply cannot provide. You need to choose a nursing home.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-articleLarge.jpg', 'height': 408, 'width': 600, 'legacy': {'xlarge': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 408}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-blogSpan.jpg', 'height': 327, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-articleLarge.jpg', 'height': 408, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-sfSpan.jpg', 'height': 268, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/03/18/business/20patient_CA0/20patient_CA0-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Nursing and Nurses', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 6, 'major': 'N'}]",2010-03-19T13:49:40+0000,article,Business,Health,News,nyt://article/20cf30c7-5ecf-59aa-ab47-8f0af2c06856,1374,,nyt://article/20cf30c7-5ecf-59aa-ab47-8f0af2c06856,Stressful but Vital: Picking a Nursing Home,Patient Money,,Stressful but Vital: Picking a Nursing Home,,,,By Walecia Konrad,"[{'firstname': 'Walecia', 'middlename': None, 'lastname': 'Konrad', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,,Alzheimer
"Dr. Plum’s influential research improved the diagnosis and treatment of patients who lose consciousness from head injuries, strokes, metabolic disorders and drug overdoses.",https://www.nytimes.com/2010/06/13/health/13plum.html,"Dr. Plum’s influential research improved the diagnosis and treatment of patients who lose consciousness from head injuries, strokes, metabolic disorders and drug overdoses.","Dr. Fred Plum, a neurologist whose pioneering research advanced the understanding of consciousness and the care of comatose patients and who helped coin the term “persistent vegetative state,” died Friday in Manhattan. He was 86.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/13/nyregion/dogPLUM2-obit/dogPLUM2-obit-articleInline.jpg', 'height': 270, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/13/nyregion/dogPLUM2-obit/dogPLUM2-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/13/nyregion/dogPLUM2-obit/dogPLUM2-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Fins, Joseph J', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Memorial Sloan-Kettering Cancer Center', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'New York-Presbyterian Hospital', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Coma', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Quinlan, Karen Ann', 'rank': 8, 'major': 'N'}]",2010-06-12T23:26:35+0000,article,National,Health,Obituary (Obit),nyt://article/56022e99-e641-50e1-9d72-a944def41bdc,1337,,nyt://article/56022e99-e641-50e1-9d72-a944def41bdc,"Fred Plum, Neurologist Who Helped Coin ‘Persistent Vegetative State,’ Dies at 86",,,"Fred Plum, a Pioneering Neurologist, Is Dead at 86",,,,By Lawrence K. Altman,"[{'firstname': 'Lawrence', 'middlename': 'K.', 'lastname': 'Altman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,28,,Alzheimer
"We answer several common will questions, including whether you can do it yourself and whether you need a living trust?",https://bucks.blogs.nytimes.com/2010/08/26/getting-a-will-six-common-questions/,"We answer several common will questions, including whether you can do it yourself and whether you need a living trust?",Let’s assume that you’ll live to a ripe old age and die peacefully in your sleep.,The New York Times,[],[],2010-08-26T18:17:37+0000,article,,Your Money,,nyt://article/38057274-c6f3-5b98-825d-bdbddb037215,1465,,nyt://article/38057274-c6f3-5b98-825d-bdbddb037215,Getting a Will: Six Common Questions,Bucks,,,,,,By Tara Siegel Bernard,"[{'firstname': 'Tara', 'middlename': 'Siegel', 'lastname': 'Bernard', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
One problem is that DNA scanning is often unable to offer meaningful predictions about a person’s risk for a disease.,https://www.nytimes.com/2010/03/20/business/20consumergene.html,One problem is that DNA scanning is often unable to offer meaningful predictions about a person’s risk for a disease., ,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/20/business/20consumergene_1/20consumergene_1-popup.jpg', 'height': 541, 'width': 500, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/20/business/20consumergene_1/20consumergene_1-articleInline.jpg', 'height': 206, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/20/business/20consumergene_1/20consumergene_1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/03/20/business/20consumergene_1/20consumergene_1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Wojcicki, Anne', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Mountain View (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Evans, James P', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': '23andMe', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'DeCode Genetics Inc', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Dyson, Esther', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'DNA (Deoxyribonucleic Acid)', 'rank': 9, 'major': 'N'}]",2010-03-20T02:57:54+0000,article,Business,Business Day,News,nyt://article/a085a021-79ac-56f2-80c2-c1f4f943c31a,1482,,nyt://article/a085a021-79ac-56f2-80c2-c1f4f943c31a,Consumers Slow to Embrace the Age of Genomics,,,Outlook Uncertain,,,,By Andrew Pollack,"[{'firstname': 'Andrew', 'middlename': None, 'lastname': 'Pollack', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,,Alzheimer
Readers respond to articles about dementia. ,https://www.nytimes.com/2010/05/15/opinion/lweb15dementia.html,Readers respond to articles about dementia. ,To the Editor:,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}]",2010-05-15T00:21:37+0000,article,Letters,Opinion,Letter,nyt://article/0c967f1e-a935-5f58-a45e-d3e5694bba9b,352,,nyt://article/0c967f1e-a935-5f58-a45e-d3e5694bba9b,Returning Missing Dementia Patients to Safety,Letters,,Returning Missing Dementia Patients to Safety,,,,,[],,,,,Alzheimer
"Ann Beattie’s collection, assembling tales dating back to 1974, lets readers imagine their way into a New Yorker fiction editor’s moment of discovery.",https://www.nytimes.com/2010/11/21/books/review/Shulevitz-t.html,"Ann Beattie’s collection, assembling tales dating back to 1974, lets readers imagine their way into a New Yorker fiction editor’s moment of discovery.","One thing that this collection of short stories by Ann Beattie makes it possible to do is imagine your way into the head of a New Yorker fiction editor at the moment of discovery. Roger Angell turned down more than a dozen stories sent to the magazine over 22 months by a very young Beattie, who was then in the process of dropping out of a graduate English program. But he wrote encouraging rejections (“I hope you will let us see more of your work, and that you will address your future submissions directly to me”) and finally accepted “A Platonic Relationship” (“What I like most about the story is its sparsity. Almost everything except the essential has been done away with, leaving one with the vision of a Giacometti”). The story was published on April 8, 1974, when Beattie was 26 years old. Reading it all these years later, you may have to work a little to pick up the electrical currents pulsing beneath its dry, self-contained surface — Beattie’s style wasn’t called “minimalist” for nothing — but if you do, you will see some of what Angell must have seen.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/books/review/Shulevitz-t_CA0/Shulevitz-t_CA0-jumbo.jpg', 'height': 1024, 'width': 762, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/books/review/Shulevitz-t_CA0/Shulevitz-t_CA0-popup.jpg', 'height': 500, 'width': 372, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/books/review/Shulevitz-t_CA0/Shulevitz-t_CA0-articleInline.jpg', 'height': 255, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/books/review/Shulevitz-t_CA0/Shulevitz-t_CA0-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/21/books/review/Shulevitz-t_CA0/Shulevitz-t_CA0-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Beattie, Ann', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'New Yorker', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ANGELL, ROGER', 'rank': 4, 'major': 'N'}]",2010-11-19T15:48:45+0000,article,BookReview,Books,Review,nyt://article/ce9631c8-e1d0-56a2-82af-6f2ba6e62819,1705,,nyt://article/ce9631c8-e1d0-56a2-82af-6f2ba6e62819,"Ann Beattie, Distilling Her Generation",,,Distilling Her Generation,,,,By Judith Shulevitz,"[{'firstname': 'Judith', 'middlename': None, 'lastname': 'Shulevitz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,BR,14,Book Review,Alzheimer
"Some people have all but abandoned the idea of soap, shampoo and deodorant and yet still manage to have friends, romantic relationships and even office jobs.",https://www.nytimes.com/2010/10/31/fashion/31Unwashed.html,"Some people have all but abandoned the idea of soap, shampoo and deodorant and yet still manage to have friends, romantic relationships and even office jobs.","A DAILY shower is a deeply ingrained American habit. Most people would no sooner disclose they had not showered in days than admit infidelity. But Jenefer Palmer, 55, of Malibu, Calif., cheerfully acknowledged recently that she doesn’t shower or shampoo daily and doesn’t use deodorant. Ever.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/fashion/31unwashed-span/31unwashed-span-articleLarge.jpg', 'height': 363, 'width': 600, 'legacy': {'xlarge': 'images/2010/10/31/fashion/31unwashed-span/31unwashed-span-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 363}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/fashion/31unwashed-span/UNWASHED-jumbo.jpg', 'height': 678, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/fashion/31unwashed-span/UNWASHED-popup.jpg', 'height': 431, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/fashion/31unwashed-span/31unwashed-span-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/10/31/fashion/31unwashed-span/31unwashed-span-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/10/31/fashion/31unwashed-span/31unwashed-span-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Deodorants', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Sweating', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Cleansers, Detergents and Soaps', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Smells and Odors', 'rank': 4, 'major': 'N'}]",2010-10-29T21:51:17+0000,article,Styles,Fashion & Style,News,nyt://article/f46e4262-46c9-5ecb-baf5-b4bfa34a41c5,1717,,nyt://article/f46e4262-46c9-5ecb-baf5-b4bfa34a41c5,The Great Unwashed,,,The Great Unwashed,,,,By Catherine Saint Louis,"[{'firstname': 'Catherine', 'middlename': 'Saint', 'lastname': 'Louis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,ST,1,,Alzheimer
"The Hall of Famer is the subject of the forthcoming “Willie Mays: The Life, the Legend,” the first time he has cooperated with a biographer.",https://www.nytimes.com/2010/01/31/sports/baseball/31mays.html,"The Hall of Famer is the subject of the forthcoming “Willie Mays: The Life, the Legend,” the first time he has cooperated with a biographer.","On the night of April 29, 1961, at dinner in Milwaukee, Willie Mays ate some bad barbecue. He was up all night, sick to his stomach, and so wobbly the next afternoon he told Alvin Dark, the manager of the San Francisco Giants, to erase his name from the lineup. Lew Burdette was scheduled to pitch for the Braves.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/31/sports/31mays_CA1/popup.jpg', 'height': 557, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/31/sports/31mays_CA1/articleInline.jpg', 'height': 163, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/31/sports/31mays_CA1/sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/31/sports/31mays_CA1/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/01/31/sports/31mays_CA1/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Mays, Willie', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Baseball', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Athletics and Sports', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 4, 'major': 'N'}]",2010-01-30T18:39:35+0000,article,Sports,Sports,News,nyt://article/5065520a-b63a-5f04-9498-17dd7bcc4b53,1705,,nyt://article/5065520a-b63a-5f04-9498-17dd7bcc4b53,"Willie Mays, at 78, Decides to Tell His Story",,,"Say Hey, Did You Hear This?",,,,By Bruce Weber,"[{'firstname': 'Bruce', 'middlename': None, 'lastname': 'Weber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,SP,1,Baseball,Alzheimer
"The Havasupai people, who live in the Grand Canyon, had claimed that university researchers misused their DNA.",https://www.nytimes.com/2010/04/22/us/22dna.html,"The Havasupai people, who live in the Grand Canyon, had claimed that university researchers misused their DNA.","SUPAI, Ariz. — Seven years ago, the Havasupai Indians, who live amid the turquoise waterfalls and red cliffs miles deep in the Grand Canyon, issued a “banishment order” to keep Arizona State University employees from setting foot on their reservation — an ancient punishment for what they regarded as a genetic-era betrayal.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-articleInline.jpg', 'height': 124, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/04/22/us/22dna_337-span/22dna_337-span-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'ARIZONA STATE UNIVERSITY', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Native Americans', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Diabetes', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Arizona', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'DNA (Deoxyribonucleic Acid)', 'rank': 8, 'major': 'N'}]",2010-04-21T20:03:50+0000,article,National,U.S.,News,nyt://article/54537103-b3e3-58cd-a59d-5c289ef03564,1667,,nyt://article/54537103-b3e3-58cd-a59d-5c289ef03564,Indian Tribe Wins Fight to Limit Research of Its DNA,,,Tribe Wins Fight to Limit Research of Its DNA,,,,By Amy Harmon,"[{'firstname': 'Amy', 'middlename': None, 'lastname': 'Harmon', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,Alzheimer
"“As a child in the early 1980s, I tended to talk with things in my mouth — food, dentist’s tubes, balloons that would fly away, whatever — and if no one else was around, I’d talk anyway.”",https://www.nytimes.com/2010/08/05/books/excerpt-the-disappearing-soon.html,"“As a child in the early 1980s, I tended to talk with things in my mouth — food, dentist’s tubes, balloons that would fly away, whatever — and if no one else was around, I’d talk anyway.”",Introduction,The New York Times,[],"[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}]",2010-08-04T20:32:21+0000,article,Culture,Books,First Chapter,nyt://article/1d2a1caa-e002-5729-aef7-0f047da2e7bb,1785,,nyt://article/1d2a1caa-e002-5729-aef7-0f047da2e7bb,‘The Disappearing Spoon’,Excerpt,,,,,,By Sam Kean,"[{'firstname': 'Sam', 'middlename': None, 'lastname': 'Kean', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Researchers said substantial improvements were made in the behaviors of people with fragile X syndrome in a small clinical trial.,https://www.nytimes.com/2010/04/30/health/research/30fragile.html,Researchers said substantial improvements were made in the behaviors of people with fragile X syndrome in a small clinical trial.,"An experimental drug succeeded in a small clinical trial in bringing about what the researchers called substantial improvements in the behaviors associated with retardation and autism in people with fragile X syndrome, the most common inherited cause of these mental disabilities.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/30/us/30fragile_CA0_337-395/30fragile_CA0-popup.jpg', 'height': 432, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/30/us/30fragile_CA0_337-395/30fragile_CA0-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/30/us/30fragile_CA0_337-395/30fragile_CA0-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/30/us/30fragile_CA0_337-395/30fragile_CA0-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/04/30/us/30fragile_CA0_337-395/30fragile_CA0-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Mental Retardation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Novartis AG', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Autism', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 8, 'major': 'N'}]",2010-04-30T02:10:52+0000,article,National,Health,News,nyt://article/63e8b5f3-66d9-5612-8d9b-8b89009c5d01,1910,,nyt://article/63e8b5f3-66d9-5612-8d9b-8b89009c5d01,Promise Seen in Drug for Retardation Syndrome,,,Promise Seen in Drug for Retardation Syndrome,,,,By Gardiner Harris,"[{'firstname': 'Gardiner', 'middlename': None, 'lastname': 'Harris', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,Research,Alzheimer
Can combining neuroscience and Jane Austen get a literature Ph.D. a job?,https://roomfordebate.blogs.nytimes.com/2010/04/05/can-neuro-lit-crit-save-the-humanities/,Can combining neuroscience and Jane Austen get a literature Ph.D. a job?,A recent Times article described the use of neurological research  and cognitive science in the field of literary theory.,The New York Times,[],[],2010-04-05T23:09:03+0000,article,,Opinion,,nyt://article/d127ecfc-204e-5f7d-87ed-addfba74cf6e,2063,,nyt://article/d127ecfc-204e-5f7d-87ed-addfba74cf6e,Can ‘Neuro Lit Crit’ Save the Humanities?,Room for Debate,,,,,,By The Editors,[],The Editors,,,,Alzheimer
